date,hour,temperature_c
2025-12-11,0,14.933333333333332
2025-12-11,1,14.4
2025-12-11,2,13.966666666666667
2025-12-11,3,13.566666666666668
2025-12-11,4,13.166666666666666
2025-12-11,5,12.633333333333333
2025-12-11,6,12.4
2025-12-11,7,13.5
2025-12-11,8,17.433333333333334
2025-12-11,9,21.46666666666667
2025-12-11,10,24.3
2025-12-11,11,26.03333333333333
2025-12-11,12,27.099999999999998
2025-12-11,13,27.733333333333334
2025-12-11,14,27.833333333333332
2025-12-11,15,27.433333333333334
2025-12-11,16,26.400000000000002
2025-12-11,17,23.333333333333332
2025-12-11,18,20.166666666666668
2025-12-11,19,18.366666666666667
2025-12-11,20,17.133333333333333
2025-12-11,21,16.1
2025-12-11,22,15.199999999999998
2025-12-11,23,14.199999999999998
